name,stack,rm_per_month,basis
Testosterone Enanthate/Cypionate,PEDs,80.32,annualized
Boldenone Undecanoate,PEDs,42.0,annualized
Oxandrolone (Anavar),PEDs,64.0,annualized
MK-677,PEDs,59.36,annualized
Trenbolone Acetate,PEDs,14.67,annualized
Proviron,PEDs,15.68,annualized
Levothyroxine (T4),PEDs,4.97,annualized
Cardarine (GW-501516),PEDs,14.84,annualized
On The Go Protein Isolate (OTG),Protein & Pre-Intra,107.68,dose/shelf
Ell-Cranel Alpha 0.025% (alfatradiol),Hair,86.14,dose/shelf
Oral Minoxidil,Hair,85.2,dose/shelf
Pre-Workout,Protein & Pre-Intra,46.67,dose/shelf
Tadalafil,Ancillaries & Supplement,42.92,dose/shelf
Nicorette Gum (nicotine),Cognitive Stack,41.75,dose/shelf
"SPI (Soy Protein Isolate, HK)",Protein & Pre-Intra,38.61,dose/shelf
Intra-Workout,Protein & Pre-Intra,35.33,dose/shelf
Medicube Toner Pads,Skin,34.12,dose/shelf
Vitamin E (Tocotrienol Complex),Supplement,32.19,dose/shelf
CDP-Choline,Cognitive Stack,31.78,dose/shelf
Uridine Monophosphate,Cognitive Stack,31.66,dose/shelf
L-Citrulline,Protein & Pre-Intra,29.57,dose/shelf
Whole Eggs,Food,26.38,dose/shelf
Fish Oil (Omega-3),Cognitive Stack,26.13,dose/shelf
Aged Garlic Extract,Ancillaries & Supplement,25.57,dose/shelf
Boswellia Extract,Ancillaries & Supplement,25.47,dose/shelf
CoQ10,Ancillaries & Supplement,25.45,dose/shelf
Eucerin Scar Serum + Cleansing Gel,Skin,25.1,dose/shelf
RU58841 (99% raw powder),Hair,23.0,dose/shelf
Alpha-GPC,Cognitive Stack,21.6,dose/shelf
Nizoral (Ketoconazole shampoo),Hair,19.27,dose/shelf
Irbesartan,Ancillaries & Supplement,17.77,dose/shelf
Beta-Alanine,Protein & Pre-Intra,17.74,dose/shelf
Topical Minoxidil 5% + LCTC,Hair,17.0,dose/shelf
TUDCA,Cycle Support,15.77,dose/shelf
Creatine Monohydrate,Cognitive Stack,15.22,dose/shelf
Glutamine,Protein & Pre-Intra,14.79,dose/shelf
Bacopa Monnieri,Cognitive Stack,14.48,dose/shelf
Rosuvastatin,Ancillaries & Supplement,14.38,dose/shelf
L-Carnitine,Protein & Pre-Intra,14.09,dose/shelf
Astragalus Root,Cycle Support,13.95,dose/shelf
Nicotinamide Riboside,Ancillaries & Supplement,13.15,dose/shelf
NAC,Ancillaries & Supplement,11.84,dose/shelf
Selenium,Ancillaries & Supplement,11.42,dose/shelf
Calcium D-Glucarate,Ancillaries & Cycle Support,20.53,dose/shelf
Originote Niacinamide Serum,Skin,10.93,dose/shelf
Copper (Bisglycinate),Ancillaries & Supplement,10.65,dose/shelf
Tretinoin 0.1% Moisturizer (Glycore),Skin,10.63,dose/shelf
Magnesium Glycinate,Ancillaries & Supplement,10.4,dose/shelf
TMG (Betaine),Ancillaries & Supplement,10.15,dose/shelf
DIM,Cycle Support,9.61,dose/shelf
Acetyl L-Carnitine,Cognitive Stack,9.45,dose/shelf
Vitamin C,Ancillaries & Supplement,9.13,dose/shelf
Insulin Syringe 30g (NIPRO),Consumables,9.11,dose/shelf
L-Theanine,Cognitive Stack,8.75,dose/shelf
Saffron,Cognitive Stack,8.59,dose/shelf
Methyl B Complex,Ancillaries & Supplement,8.37,dose/shelf
Glycerol,Protein & Pre-Intra,8.35,dose/shelf
Apigenin,Ancillaries & Supplement,7.73,dose/shelf
Originote Moisturizer,Skin,7.72,dose/shelf
Tretinoin 0.025% Cream (BCP),Skin,7.44,dose/shelf
Huperzine-A,Cognitive Stack,7.36,dose/shelf
Medicube Exfoliate (Face & Body),Skin,6.46,dose/shelf
Medicube Body Wash,Skin,6.25,dose/shelf
P5P (Pyridoxal-5-Phosphate),Cycle Support,6.09,dose/shelf
Ashwagandha,Ancillaries & Supplement,5.91,dose/shelf
Ginkgo Biloba,Cognitive Stack,5.67,dose/shelf
Vitamin D3/K2,Ancillaries & Supplement,5.58,dose/shelf
Aspirin,Ancillaries & Supplement,5.48,dose/shelf
Zinc,Cycle Support,5.33,dose/shelf
L-Tyrosine,Cognitive Stack,5.32,dose/shelf
Melatonin,Ancillaries & Supplement,3.7,dose/shelf
Boron,Cycle Support,3.68,dose/shelf
Propylene Glycol USP (carrier),Hair,3.62,dose/shelf
Caffeine,Cognitive Stack,3.47,dose/shelf
Ethanol 99% (carrier),Hair,2.45,dose/shelf
Originote Facial Cleanser,Skin,2.15,dose/shelf
Alcohol Swab,Consumables,1.18,dose/shelf
